2	Good Teen Read	s[n[n[(n/n)   n]] (s\\n)]
2	johnny is brilliant	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Black Hawk Fails	s[n[n[(n/n)   n]] (s\\n)]
1	bits are nice	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	It was the wrong item	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	This cheese is great	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	He wants his gold	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	Warranty is worthless	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	This concert is TERRIBLE	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	It 's the DS	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	Oven function dies	s[n[n[(n/n)   n]] (s\\n)]
2	This series deserves better	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I Hate This Thing	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This is a wonderful show	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Someone needs a cold shower	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Cold heat stinks	s[n[n[(n/n)   n]] (s\\n)]
1	It 's a bad one	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	I recommend this disc	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This is the greatest hits	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	These Boys Can Rock	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Price is Insane	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I like the safety strap	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	It has a trick	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	This music is awful	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Sweet summer read	s[n[n[(n/n)   n]] (s\\n)]
2	Love Case Closed	s[n[n[(n/n)   n]] (s\\n)]
2	Filter is working	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	SECOND EXTRAORDINARY READ	s[n[n[(n/n)   n]] (s\\n)]
1	I was the blues	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	The premise is interesting	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	This is an excellent product	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Iron Sky Fail	s[n[n[(n/n)   n]] (s\\n)]
1	The picture is deceptive	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	this item is missing	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	this band is terrible	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	The Product Has Changed	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	This holder is awesome	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	i return this cd	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	This CD Really Sucks	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I love all DBZ	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This Book Was Excellent	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	They Missed the Point	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	The disc is scratched	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	first one worked	s[n[n[(n/n)   n]] (s\\n)]
1	Original is better	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	The Devil 's Double	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	The price was great	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	It deserves no stars	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	I hate this saw	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	I Loved this Book	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Good Things Coming	s[n[n[(n/n)   n]] (s\\n)]
2	this album is sick	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	This is an excellent program	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	This movie was retarded	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	BRIAN JOHNSON SUCKS	s[n[n[(n/n)   n]] (s\\n)]
2	Brown is Beautiful	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I had a lemon	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	circuit boys dream	s[n[n[(n/n)   n]] (s\\n)]
1	I 'm a Rotten Cook	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	I hate this pot	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	A Star Is Born	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I purchased a NEW book	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	i like this diapers	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	This movie is WRONG	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Cable stopped working	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	This is the best stuff	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	I want my cd	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This is my 2nd set	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	picture looks better	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I like this toy	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	This cd is lame	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	These reviews are old	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Great Family Read	s[n[n[(n/n)   n]] (s\\n)]
1	Movie was okay	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	You feel this story	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	dog lovers beware	s[n[n[(n/n)   n]] (s\\n)]
1	I hate this DVD	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	all fluff no stuff	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	THIS WAS A WASTE	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This is the REAL bible	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	this book was stupid	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	These Shoes Are Great	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I am a changed man	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Case is useless	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Metallica is dead	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I NEED A REFUND	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This CD is great	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Information is wonderful	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	This cd is AWESOME	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	price is good	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	It was a dud	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	this is a must see	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	this target is weak	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	It is an ok book	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	it is a good gun	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	This man is dangerous	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	i love these books	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	THIS GAME JUST SUCKS	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	It 's a Crazy Life	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Memory was defective	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
